Beast Ball,Pokeballs,A special Pok\xc3\xa9 Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.
Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pok\xc3\xa9mon by just 20 points.
Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.
Big Malasada,Medicine,Heals all major status conditions.
Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.
Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
Big Root,Hold items,Recovers more HP from HP-stealing moves.
Binding Band,Hold items,A band that increases the power of binding moves when held.
Black Apricorn,General items,A black Apricorn It has an indescribable scent.
Black Belt,Hold items,Increases the power of Fighting-type moves.
Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.
Black Glasses,Hold items,Increases the power of Dark-type moves.
Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pok\xc3\xa9mon. It inflicts damage on all other types.
Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.
Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.
Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.
Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.
Blue Scarf,General items,Raises holder\'s Beauty aspect in a Contest.
Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.
Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Blunder Policy,Hold items,Raises Speed sharply if its attack misses.
Bold Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Bold nature.
Bottle Cap,General items,Maximizes one IV stat in Hyper Training.
Brave Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Brave nature.
Bright Powder,Hold items,Lowers the opponent\'s accuracy.
Bug Gem,Hold items,Increases the power of a Bug-type move only once.
Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.
Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move."
Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.
Burn Heal,Medicine,A spray-type medicine. It heals a single Pok\xc3\xa9mon that is suffering from a burn.
Calcium,Medicine,Increases Special Attack EVs by 10.
Calm Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Calm nature.
Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.
Carbos,Medicine,Increases Speed EVs by 10.
Careful Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Careful nature.
Casteliacone,Medicine,Heals all major status conditions.
Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
Chalky Stone,General items,A small whitish stone picked up at the edge of the road.
Charcoal,Hold items,Increases the power of Fire-type moves.
Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.
Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.
Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pok\xc3\xa9mon.
Cheri Berry,Berries,"If held by a Pok\xc3\xa9mon, it recovers from paralysis."
Cherish Ball,Pokeballs,A quite rare Pok\xc3\xa9 Ball that has been specially crafted to commemorate an occasion of some sort.
Chesto Berry,Berries,"If held by a Pok\xc3\xa9mon, it recovers from sleep."
Chilan Berry,Berries,Weakens a Normal-type attack against the Pok\xc3\xa9mon holding this berry.
Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.
Chipped Pot,Hold items,Evolves Sinistea into Polteageist.
Choice Band,Hold items,"Raises Attack, but only one move can be used."
Choice Scarf,Hold items,"Raises Speed, but only one move can be used."
Choice Specs,Hold items,"Raises Special Attack, but only one move can be used."
Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pok\xc3\xa9mon.
Claw Fossil,General items,A fossil of an ancient Pok\xc3\xa9mon that lived in the sea. It appears to be part of a claw.
Cleanse Tag,Hold items,An item to be held by a Pok\xc3\xa9mon. It helps keep wild Pok\xc3\xa9mon away if the holder is the first one in the party.
Clever Wing,Medicine,Increases Special Defense EVs by 1.
Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.
Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pok\xc3\xa9mon.
Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pok\xc3\xa9mon.
Colress Machine,Hold items,A special device that wrings out the potential of Pok\xc3\xa9mon. It is an imperfect prototype.
Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Courage Candy,Medicine,Increases a Pok\xc3\xa9mon\'s Special Defense stat by 1.
Courage Candy L,Medicine,Increases a Pok\xc3\xa9mon\'s Special Defense stat.
Courage Candy XL,Medicine,Increases a Pok\xc3\xa9mon\'s Special Defense stat.
Cover Fossil,General items,A fossil of an ancient Pok\xc3\xa9mon that lived in the sea in ancient times. It appears to be part of its back.
Cracked Pot,Hold items,Evolves Sinistea into Polteageist.
Custap Berry,Berries,Holder can move first when HP is low.
Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Damp Rock,Hold items,A Pok\xc3\xa9mon held item that extends the duration of the move Rain Dance used by the holder.
Dark Gem,Hold items,Increases the power of a Dark-type move only once.
Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.
Darkinium Z,Hold items,"Allows the use of Black Hole Eclipse, the Dark type Z-Move."
Dawn Stone,General items,Evolves certain species of Pok\xc3\xa9mon.
Decidium Z,Hold items,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid."
Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.
Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.
Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pok\xc3\xa9mon. If the holder becomes infatuated, the foe does too."
Diancite,Hold items,Enables Diancie to Mega Evolve during battle.
Dire Hit,Battle items,Raises critical-hit ratio of a Pok\xc3\xa9mon in battle.
Dire Hit 2,Battle items,Raises a Pok\xc3\xa9mon\'s critical-hit ratio in battle.
Dire Hit 3,Battle items,Greatly raises a Pok\xc3\xa9mon\'s critical-hit ratio in battle.
Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
Dive Ball,Pokeballs,A somewhat different Pok\xc3\xa9 Ball that works especially well on Pok\xc3\xa9mon that live underwater.
DNA Splicers,General items,A splicer that fuses Kyurem and a certain Pok\xc3\xa9mon. They are said to have been one in the beginning.
Dome Fossil,General items,A fossil of an ancient Pok\xc3\xa9mon that lived in the sea. It appears to be part of a shell.
Douse Drive,Hold items,Changes Techno Blast to a Water-type move when held by Genesect.
Draco Plate,Hold items,Increases power of Dragon-type moves. Changes Arceus\' type to Dragon.
Dragon Fang,Hold items,Increases the power of Dragon-type moves.
Dragon Gem,Hold items,Increases the power of a Dragon-type move only once.
Dragon Memory,Hold items,Changes Silvally and its move Multi-Attack to Dragon type.
Dragon Scale,General items,Evolves Seadra when traded holding the item.
Dragonium Z,Hold items,"Allows the use of Devastating Drake, the Dragon type Z-Move."
Dread Plate,Hold items,Increases power of Dark-type moves. Changes Arceus\' type to Dark.
Dream Ball,Pokeballs,A special Pok\xc3\xa9 Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pok\xc3\xa9mon.
Dropped Item,Hold items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
Dubious Disc,General items,Evolves Porygon2 when traded holding the item.
Durin Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Dusk Ball,Pokeballs,A somewhat different Pok\xc3\xa9 Ball that makes it easier to catch wild Pok\xc3\xa9mon at night or in dark places like caves.
Dusk Stone,General items,Evolves certain species of Pok\xc3\xa9mon.
Dynamax Candy,Medicine,Raises Dynamax Level.
Earth Plate,Hold items,Increases power of Ground-type moves. Changes Arceus\' type to Ground.
Eevium Z,Hold items,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost."
Eject Button,Hold items,"If the holder is hit by an attack, it will switch with another Pok\xc3\xa9mon in your party."
Eject Pack,Hold items,The Pok\xc3\xa9mon switches out if its stats are lowered.
Electirizer,General items,Evolves Electabuzz when traded holding the item.
Electric Gem,Hold items,Increases the power of an Electric-type move only once.
Electric Memory,Hold items,Changes Silvally and its move Multi-Attack to Electric type.
Electric Seed,Hold items,An item to be held by a Pok\xc3\xa9mon. It boosts Defense on Electric Terrain. It can only be used once.
Electrium Z,Hold items,"Allows the use of Gigavolt Havoc, the Electric type Z-Move."
Elevator Key,Hold items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare\'s logo.
Elixir,Medicine,It restores the PP of all the moves learned by the targeted Pok\xc3\xa9mon by 10 points each.
Energy Powder,Medicine,Restores 60 HP but lowers Friendship.
Energy Root,Medicine,Restores 120 HP but lowers Friendship.
Enigma Berry,Berries,"If held by a Pok\xc3\xa9mon, it restores its HP if it is hit by any supereffective attack."
Escape Rope,General items,"A long, durable rope. Use it to escape instantly from a cave or a dungeon."
Ether,Medicine,It restores the PP of a Pok\xc3\xa9mon\'s selected move by a maximum of 10 points.
Everstone,Hold items,An item to be held by a Pok\xc3\xa9mon. The Pok\xc3\xa9mon holding this peculiar stone is prevented from evolving.
Eviolite,Hold items,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pok\xc3\xa9mon that can still evolve."
Exp. Candy L,Medicine,
Exp. Candy M,Medicine,
Exp. Candy S,Medicine,
Exp. Candy XL,Medicine,"Increases the Pok\xc3\xa9mon\'s Exp points by 30,000."
Exp. Candy XS,Medicine,
Exp. Share,Hold items,An item to be held by a Pok\xc3\xa9mon. The holder gets a share of a battle\'s Exp. Points without battling.
Expert Belt,Hold items,Increases the power of super-effective moves.
Fairium Z,Hold items,"Allows the use of Twinkle Tackle, the Fairy type Z-Move."
Fairy Gem,General items,Increases the power of a Fairy-type move only once.
Fairy Memory,Hold items,Changes Silvally and its move Multi-Attack to Fairy type.
Fast Ball,Pokeballs,A Pok\xc3\xa9 Ball that makes it easier to catch Pok\xc3\xa9mon which are quick to run away.
Festival Ticket,General items,A ticket that allows you to host a mission in Festival Plaza.
Fighting Gem,Hold items,Increases the power of a Fighting-type move only once.
Fighting Memory,Hold items,Changes Silvally and its move Multi-Attack to Fighting type.
Fightinium Z,Hold items,"Allows the use of All-Out Pummeling, the Fighting type Z-Move."
Figy Berry,Berries,"Restores HP if it\'s low, but may cause confusion."
Fire Gem,Hold items,Increases the power of a Fire-type move only once.
Fire Memory,Hold items,Changes Silvally and its move Multi-Attack to Fire type.
Fire Stone,General items,Evolves certain species of Pok\xc3\xa9mon.
Firium Z,Hold items,"Allows the use of Inferno Overdrive, the Fire type Z-Move."
Fist Plate,Hold items,Increases power of Fighting-type moves. Changes Arceus\' type to Fighting.
Flame Orb,Hold items,An item to be held by a Pok\xc3\xa9mon. It is a bizarre orb that inflicts a burn on the holder in battle.
Flame Plate,Hold items,Increases power of Fire-type moves. Changes Arceus\' type to Fire.
Float Stone,Hold items,A very light stone. It reduces the weight of a Pok\xc3\xa9mon when held.
Flower Sweet,Hold items,Evolves Milcery into Flower Flavor Alcremie.
Fluffy Tail,General items,An item that attracts Pok\xc3\xa9mon. Use it to flee from any battle with a wild Pok\xc3\xa9mon.
Flying Gem,Hold items,Increases the power of a Flying-type move only once.
Flying Memory,Hold items,Changes Silvally and its move Multi-Attack to Flying type.
Flyinium Z,Hold items,"Allows the use of Supersonic Skystrike, the Flying type Z-Move."
Focus Band,Hold items,"An item to be held by a Pok\xc3\xa9mon. The holder may endure a potential KO attack, leaving it with just 1 HP."
Focus Sash,Hold items,"An item to be held by a Pok\xc3\xa9mon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP."
Fresh Water,Medicine,Restores 30 HP.
Friend Ball,Pokeballs,A Pok\xc3\xa9 Ball that makes caught Pok\xc3\xa9mon more friendly.
Full Heal,Medicine,A spray-type medicine. It heals all the status problems of a single Pok\xc3\xa9mon.
Full Incense,Hold items,Holder always attacks last. Breeding Snorlax produces Munchlax when held.
Full Restore,Medicine,A medicine that fully restores the HP and heals any status problems of a single Pok\xc3\xa9mon.
Galladite,Hold items,Enables Gallade to Mega Evolve during battle.
Ganlon Berry,Berries,Raises Defense when HP is low.
Garchompite,Hold items,Enables Garchomp to Mega Evolve during battle.
Gardevoirite,Hold items,Enables Gardevoir to Mega Evolve during battle.
Gengarite,Hold items,Enables Gengar to Mega Evolve during battle.
Genius Wing,Medicine,Increases Special Attack EVs by 1.
Gentle Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Gentle nature.
Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.
Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.
Ghostium Z,Hold items,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move."
Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.
Gold Bottle Cap,General items,Maximizes all of a Pok\xc3\xa9mon\'s IV stats in Hyper Training.
Gold Leaf,General items,
Golden Nanab Berry,Berries,"Drastically calms a Pok\xc3\xa9mon in battle, in Let\'s Go Pikachu/Eevee."
Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pok\xc3\xa9mon is caught, in Pok\xc3\xa9mon Let\'s Go."
Golden Razz Berry,Berries,Makes a Pok\xc3\xa9mon easier to catch in Pok\xc3\xa9mon Let\'s Go.
Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grass Gem,Hold items,Increases the power of a Grass-type move only once.
Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.
Grassium Z,Hold items,"Allows the use of Bloom Doom, the Grass type Z-Move."
Grassy Seed,Hold items,An item to be held by a Pok\xc3\xa9mon. It boosts Defense on Grassy Terrain. It can only be used once.
Great Ball,Pokeballs,"A good, high-performance Ball that provides a higher Pok\xc3\xa9mon catch rate than a standard Pok\xc3\xa9 Ball."
Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent."
Green Scarf,General items,Raises holder\'s Smart aspect in a Contest.
Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.
Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.
Grip Claw,Hold items,A Pok\xc3\xa9mon held item that extends the duration of multiturn attacks like Bind and Wrap.
Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme."
Ground Gem,Hold items,Increases the power of a Ground-type move only once.
Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.
Groundium Z,Hold items,"Allows the use of Tectonic Rage, the Ground type Z-Move."
Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grubby Hanky,Hold items,A handkerchief dropped by a regular at Caf\xc3\xa9 Warehouse. It smells faintly like a Pok\xc3\xa9mon.
Guard Spec.,Battle items,Prevents stat reduction for five turns.
Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.
Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pok\xc3\xa9mon.
Hard Stone,Hold items,Increases the power of Rock-type moves.
Hasty Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Hasty nature.
Heal Ball,Pokeballs,A remedial Pok\xc3\xa9 Ball that restores the caught Pok\xc3\xa9mon\'s HP and eliminates any status problem.
Heal Powder,Medicine,"Heals all status problems, but lowers Friendship."
Health Candy,Medicine,Increases a Pok\xc3\xa9mon\'s HP stat by 1.
Health Candy L,Medicine,Increases a Pok\xc3\xa9mon\'s HP stat.
Health Candy XL,Medicine,Increases a Pok\xc3\xa9mon\'s HP stat.
Health Wing,Medicine,Increases HP EVs by 1.
Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow."
Heat Rock,Hold items,A Pok\xc3\xa9mon held item that extends the duration of the move Sunny Day used by the holder.
Heavy Ball,Pokeballs,A Pok\xc3\xa9 Ball for catching very heavy Pok\xc3\xa9mon.
Heavy-Duty Boots,Hold items,Protects the holder from traps set on the battlefield.
Helix Fossil,General items,A fossil of an ancient Pok\xc3\xa9mon that lived in the sea. It appears to be part of a seashell.
Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.
Hi-tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.
HM01,Machines,Teaches the move Cut.
HM02,Machines,Teaches the move Fly.
HM03,Machines,Teaches the move Surf.
HM04,Machines,Teaches the move Strength.
HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.
HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.
HM07,Machines,Teaches the move Waterfall.
HM08,Machines,Teaches the move Dive/Rock Climb.
Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.
Honey,General items,"A sweet honey with a lush aroma that attracts wild Pok\xc3\xa9mon when it is used in grass, caves, or on special trees."
Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.
HP Up,Medicine,Increases HP EVs by 10.
Hyper Potion,Medicine,Restores 120 HP.
Iapapa Berry,Berries,"Restores HP if it\'s low, but may cause confusion."
Ice Gem,Hold items,Increases the power of an Ice-type move only once.
Ice Heal,Medicine,A spray-type medicine. It defrosts a Pok\xc3\xa9mon that has been frozen solid.
Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.
Ice Stone,General items,Evolves certain species of Pok\xc3\xa9mon.
Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus\' type to Ice.
Icium Z,Hold items,"Allows the use of Subzero Slammer, the Ice type Z-Move."
Icy Rock,Hold items,A Pok\xc3\xa9mon held item that extends the duration of the move Hail used by the holder.
Impish Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Impish nature.
Incinium Z,Hold items,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault."
Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus\' type to Bug.
Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It\'s all in the eye of the beholder.
Iron,Medicine,Increases Defense EVs by 10.
Iron Ball,Hold items,A Pok\xc3\xa9mon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus\' type to Steel.
Item Drop,Battle items,"When used, it causes an ally Pok\xc3\xa9mon to drop a held item."
Item Urge,Battle items,"When used, it causes an ally Pok\xc3\xa9mon to use its held item."
Jaboca Berry,Berries,"If held by a Pok\xc3\xa9mon and a physical attack lands, the attacker also takes damage."
Jolly Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Jolly nature.
Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.
Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pok\xc3\xa9mon.
Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pok\xc3\xa9mon.
Kee Berry,Berries,"If held by a Pok\xc3\xa9mon, this Berry will increase the holder\'s Defense if it\'s hit with a physical move."
Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.
King\'s Rock,Hold items,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.
Kommonium Z,Hold items,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze."
Lagging Tail,Hold items,Holder always attacks last.
Lansat Berry,Berries,Increases critical-hit ratio when HP is low.
Latiasite,Hold items,Enables Latias to Mega Evolve during battle.
Latiosite,Hold items,Enables Latios to Mega Evolve during battle.
Lava Cookie,Medicine,Heals all major status conditions.
Lax Incense,Hold items,Lowers the opponent\'s accuracy. Breeding Wobbuffet produces Wynaut when held.
Lax Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Lax nature.
Leaf Letter,General items,A letter written on a leaf. Something is written using Eevee\'s footprints.
Leaf Stone,General items,Evolves certain species of Pok\xc3\xa9mon.
Leftovers,Hold items,An item to be held by a Pok\xc3\xa9mon. The holder\'s HP is gradually restored during battle.
Lemonade,Medicine,Restores 70 HP.
Leppa Berry,Berries,"If held by a Pok\xc3\xa9mon, it restores a move\'s PP by 10."
Level Ball,Pokeballs,A Pok\xc3\xa9 Ball for catching Pok\xc3\xa9mon that are a lower level than your own.
Liechi Berry,Berries,Raises Attack when HP is low.
Life Orb,Hold items,"Increases the power of moves, but loses HP each turn."
Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.
Light Clay,Hold items,A Pok\xc3\xa9mon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
Lone Earring,General items,
Lonely Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Lonely nature.
Looker Ticket,Hold items,A ticket that was handmade by Looker. It\'s decorated with a liberal amount of glittery paint.
Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.
Love Ball,Pokeballs,Pok\xc3\xa9 Ball for catching Pok\xc3\xa9mon that are the opposite gender of your Pok\xc3\xa9mon.
Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.
Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.
Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.
Lucky Egg,Hold items,An item to be held by a Pok\xc3\xa9mon. It is an egg filled with happiness that earns extra Exp. Points in battle.
Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.
Lum Berry,Berries,"If held by a Pok\xc3\xa9mon, it recovers from any status problem."
Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.
Lumiose Galette,Medicine,Heals all major status conditions.
Lunalium Z,Hold items,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom."
Lure,General items,Attracts Pok\xc3\xa9mon in the wild.
Lure Ball,Pokeballs,A Pok\xc3\xa9 Ball for catching Pok\xc3\xa9mon hooked by a Rod when fishing.
Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.
Luxury Ball,Pokeballs,A comfortable Pok\xc3\xa9 Ball that makes a caught wild Pok\xc3\xa9mon quickly grow friendly.
Lycanium Z,Hold items,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards."
Macho Brace,Hold items,An item to be held by a Pok\xc3\xa9mon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
Magmarizer,General items,Evolves Magmar when traded holding the item.
Magnet,Hold items,Increases the power of Electric-type moves.
Mago Berry,Berries,"Restores HP if it\'s low, but may cause confusion."
Magost Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Manectite,Hold items,Enables Manectric to Mega Evolve during battle.
Maranga Berry,Berries,"If held by a Pok\xc3\xa9mon, this Berry will increase the holder\'s Sp. Def if it\'s hit with a special move."
Marble,General items,
Marshadium Z,Hold items,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike."
Master Ball,Pokeballs,The best Ball with the ultimate level of performance. It will catch any wild Pok\xc3\xa9mon without fail.
Mawilite,Hold items,Enables Mawile to Mega Evolve during battle.
Max Elixir,Medicine,It fully restores the PP of all the moves learned by the targeted Pok\xc3\xa9mon.
Max Ether,Medicine,It fully restores the PP of a single selected move that has been learned by the target Pok\xc3\xa9mon.
Max Lure,General items,Attracts Pok\xc3\xa9mon in the wild.
Max Potion,Medicine,Fully restores HP.
Max Repel,General items,An item that prevents weak wild Pok\xc3\xa9mon from appearing for 250 steps after its use.
Max Revive,Medicine,A medicine that revives a fainted Pok\xc3\xa9mon. It fully restores the Pok\xc3\xa9mon\'s HP.
Meadow Plate,Hold items,Increases power of Grass-type moves. Changes Arceus\' type to Grass.
Medichamite,Hold items,Enables Medicham to Mega Evolve during battle.
Mental Herb,Hold items,An item to be held by a Pok\xc3\xa9mon. It snaps the holder out of infatuation. It can be used only once.
Metagrossite,Hold items,Enables Metagross to Mega Evolve during battle.
Metal Coat,Hold items,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.
Metal Powder,Hold items,Increases Defense when held by Ditto.
Metronome,Hold items,Increases the power of moves used consecutively.
Mewnium Z,Hold items,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova."
Mewtwonite X,Hold items,Enables Mewtwo to Mega Evolve during battle.
Mewtwonite Y,Hold items,Enables Mewtwo to Mega Evolve during battle.
Micle Berry,Berries,Increases a move\'s accuracy when HP is low.
Mighty Candy,Medicine,Increases a Pok\xc3\xa9mon\'s Attack stat by 1.
Mighty Candy L,Medicine,Increases a Pok\xc3\xa9mon\'s Attack stat.
Mighty Candy XL,Medicine,Increases a Pok\xc3\xa9mon\'s Attack stat.
Mild Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Mild nature.
Mimikium Z,Hold items,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let\'s Snuggle Forever."
Mind Plate,Hold items,Increases power of Psychic-type moves. Changes Arceus\' type to Psychic.
